Prefix,Vendor
000C29,VMware
005056,VMware
000569,VMware
00163E,Xen
525400,QEMU/KVM
001C42,Parallels
080027,Oracle VirtualBox
001A2B,Cisco
00000C,Cisco
FCFBFB,Microsoft
0003FF,Microsoft
F01FAF,Dell
001B21,Dell
3CD92B,Hewlett Packard Enterprise
001560,Hewlett Packard
0002A5,Juniper Networks
D067E5,Arista Networks
0001E6,Extreme Networks
001122,Brocade
001B63,Apple
000D93,Apple
F4CE46,Ubiquiti
A44CC8,Ubiquiti
24A43C,Ubiquiti
3C5A37,Google
F4F5D8,Google
B827EB,Raspberry Pi Foundation
DCA632,Raspberry Pi Trading
E45F01,Raspberry Pi Trading
001A11,Google Nest
F8F005,Amazon Technologies
44650D,Amazon Technologies
0017F2,Amazon Technologies
D850E6,Amazon Technologies
18FE34,Espressif
24D7EB,Espressif
84F3EB,Espressif
8C8590,TP-Link
50C7BF,TP-Link
C46E1F,TP-Link
F4EC38,Netgear
9C3DCF,Netgear
C43DC7,Netgear
001E13,D-Link
B0C554,D-Link
00195B,D-Link
001E8C,Huawei
C8D779,Huawei
0060B9,Allied Telesis
0000E8,Accton Technology
0010DB,Nortel
000A95,Zyxel
38F23E,Cambium Networks
0024A5,Fortinet
00090F,Fortinet
4C5E0C,Palo Alto Networks
0022BD,SonicWall
00179A,Check Point
BC305B,MikroTik
4C5E0C,Palo Alto Networks
B4FBF9,Ruckus Wireless
18E829,Ruckus Wireless
E80AB9,Meraki
88DC96,Meraki
7C0507,Supermicro
001B78,Acer
00155D,Liteon
90E2BA,Hon Hai Precision
D4BED9,Intel
3C970E,Intel
F4F26D,Intel
001B77,NVIDIA
00044B,Cisco-Linksys
E894F6,ASUSTek
9C5C8E,ASUSTek
B8AEED,LG Electronics
F8E079,Samsung Electronics
0018DE,Samsung Electronics
D052A8,OnePlus
4C3488,Xiaomi
A4CF12,Xiaomi
1C7EE5,OPPO
BCDDC2,Vivo Mobile
903AE6,Sony
A0CEC8,Motorola
A470D6,Lenovo
10B713,Nokia
40B034,Cloudflare
DC2C6E,Cloudflare
